NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE,GEOLOCATION
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,34.1549388720001,-118.815736391,"(34.1549388720001, -118.815736391)"
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,34.023647302,-118.184164805,"(34.023647302, -118.184164805)"
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,34.0963913570001,-118.325234871,"(34.0963913570001, -118.325234871)"
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,34.063038932,-117.967437788,"(34.063038932, -117.967437788)"
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,33.8597066200001,-118.148402965,"(33.8597066200001, -118.148402965)"
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,34.1487586590001,-117.99266765700001,"(34.1487586590001, -117.99266765700001)"
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,34.0494660590001,-118.138262231,"(34.0494660590001, -118.138262231)"
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,33.8580833070001,-117.553858035,"(33.8580833070001, -117.553858035)"
MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,41.4800562550001,-120.54574398700001,"(41.4800562550001, -120.54574398700001)"
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,36.659030455999996,-121.645983804,"(36.659030455999996, -121.645983804)"
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,33.7474607400001,-117.831055631,"(33.7474607400001, -117.831055631)"
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,33.934495886,-117.893948792,"(33.934495886, -117.893948792)"
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,33.7635332090001,-117.99525596299999,"(33.7635332090001, -117.99525596299999)"
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,36.320843946,-119.34823452799999,"(36.320843946, -119.34823452799999)"
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,30.006906976999996,-91.79452385299999,"(30.006906976999996, -91.79452385299999)"
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,77954,31.32360364,-95.43889930599991,"(31.32360364, -95.43889930599991)"
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,32.8239916700001,-92.65664868100001,"(32.8239916700001, -92.65664868100001)"
