FID,ADDRESS,CITY,STATE,ZIP,COUNTY,LATITUDE,LONGITUDE
1,1025 NORTH DOUTY STREET,HANFORD,CA,93230,KINGS,36.33615885,-119.6456673
2,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,VENTURA,34.15493887,-118.8157364
3,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,LOS ANGELES,34.0236473,-118.1841648
4,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,LOS ANGELES,34.09639136,-118.32523490000001
5,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,LOS ANGELES,34.06303893,-117.9674378
6,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,LOS ANGELES,33.85970662,-118.148403
7,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,LOS ANGELES,34.14875866,-117.99266770000001
8,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,LOS ANGELES,34.04946606,-118.1382622
9,4025 WEST 226 STREET,TORRANCE,CA,90505,LOS ANGELES,33.82391446,-118.3560969
10,730 MAGNOLIA AVENUE,CORONA,CA,92879,RIVERSIDE,33.85808331,-117.553858
11,228 MC DOWELL STREET,ALTURAS,CA,96101,MODOC,41.48005626,-120.545744
12,450 EAST ROMIE LANE,SALINAS,CA,93901,MONTEREY,36.65903046,-121.6459838
13,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,NUECES,27.77851017,-97.39620831
14,393 S. TUSTIN STREET,ORANGE,CA,92866,ORANGE,33.78272717,-117.8338919
15,14851 YORBA STREET,TUSTIN,CA,92680,ORANGE,33.74746074,-117.83105559999998
16,875 NORTH BREA BOULEVARD,BREA,CA,92621,ORANGE,33.93449589,-117.89394879999999
17,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,ORANGE,33.76353321,-117.99525600000001
18,1100 SO. AKERS STREET,VISALIA,CA,93277,TULARE,36.32084395,-119.3482345
19,2449 THIRD STREET,FOLKSTON,GA,31537,CHARLTON,30.84527535,-82.00505739
20,600 N LEWIS AVE.,NEW IBERIA,LA,70563,IBERIA,30.00690698,-91.79452385
21,1100 EAST LOOP 304,CROCKETT,TX,77954,HOUSTON,31.32360364,-95.43889931
22,242 W SHAMROCK AVE,PINEVILLE,LA,71360,RAPIDES,31.32737894,-92.44013511
23,409 1ST ST,BERNICE,LA,71222,UNION,32.82399167,-92.65664868
24,309 N MAIN ST,FARMERVILLE,LA,71241,UNION,32.77612793,-92.40562585
25,209 FRONT ST.,VIDALIA,LA,71373,CONCORDIA,31.56117486,-91.42606698
26,7939 HIGHWAY 165,COLUMBIA,LA,71418,CALDWELL,32.06003995,-92.09913767
27,545 COOK STREET,ROYSTON,GA,30662,FRANKLIN,34.28325037,-83.11897237
28,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,33.80709287,-118.1933899
