lat,lon,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,Is_Medical_Desert
32.53492796,-86.64274781,20.88298733,4.743888867,18.08155718,33.3,7.2,34.7,15.02603126,25.28492716,8.721685951,No
30.72748899,-87.72257524,17.50913436,4.224519202,17.4890326,31.0,8.0,26.5,17.958310100000002,27.88069221,11.33340447,No
31.86958881,-85.39321291,29.59180171,5.4302788589999995,21.99998453,41.7,5.6,23.5,12.84401555,40.87081536,12.24279246,No
32.99863415,-87.12648014,19.43972416,4.591482438,19.11419989,37.6,7.8,33.5,15.57004237,41.69679441,10.20625259,No
33.9808782,-86.56738341,21.74529281,4.86080763,19.20867197,33.8,8.4,30.3,14.23059383,33.5345953,13.36075949,No
32.10053438,-85.71568627,30.99910185,5.359159343,22.89466401,37.2,4.3,24.6,12.09410123,47.91666667,11.44037612,No
31.75241781,-86.68030288,27.91067318,5.4008061970000005,21.76533496,43.3,6.6,39.5,11.85740343,37.88610039,11.18600954,No
33.77143651,-85.82603459,23.10773322,4.88037674,20.61256038,38.5,6.9,31.7,13.84223015,33.53461699,11.92916752,No
32.91435287,-85.39203349,23.9954736,4.941178357,19.39292705,40.1,6.4,30.1,12.74573462,45.44100119,11.93807681,No
34.17592601,-85.60380039,20.6984706,4.775614101,17.49867379,35.0,8.3,31.3,14.10656285,36.56876094,11.17264992,No
32.84786998,-86.71880376,21.18546291,4.773382296,20.18897906,37.7,8.1,33.2,14.50937458,46.80851064,13.75970587,No
32.019777500000004,-88.2631849,24.86353129,4.93320463,18.79324829,41.3,6.4,36.2,11.64229062,30.33472803,11.34207871,No
31.67668212,-87.83081391,25.23508481,5.127337236,20.57965532,34.1,5.4,34.6,11.86901052,39.21246924,11.92636629,No
33.2690306,-85.86058307,23.79591741,4.958969531,19.62035415,40.6,7.8,32.6,13.28650366,39.47832217,13.88333809,No
33.67451959,-85.51881383,19.28440781,4.546700394,18.37446577,37.3,8.0,31.3,14.46296652,38.83172917,13.34452371,No
31.40265228,-85.98815917,19.42582681,4.420119787,17.44475759,34.2,7.5,30.8,15.18329425,26.04626523,11.99236659,No
34.70047669,-87.80493371,20.91445435,4.608637627,18.65882106,30.6,7.4,36.6,14.69759291,32.98176618,9.683862525,No
31.42923975,-86.99367837,28.60874779,5.433752811000001,21.10751297,43.0,5.6,40.7,12.04270764,37.85245268,12.03345531,No
32.93624951,-86.24765729,24.91910328,5.089016322,20.39996562,40.3,6.9,35.3,12.67054033,39.75535168,13.02620142,No
31.24849866,-86.45127715,22.66880625,4.681940452,19.24945154,31.7,7.6,35.5,13.50030218,46.86655862,12.10361769,No
31.73153754,-86.31357901,22.14693624,4.741456038,18.64692957,38.0,6.2,33.5,14.617009900000001,37.58620689999999,12.26752504,No
34.13195,-86.86758257,21.78649369,4.681421374,17.90107122,36.9,8.2,36.7,14.88718146,41.72823453,12.65824677,No
31.43181495,-85.61100904,23.43310703,5.02126402,20.05739493,37.2,6.7,32.0,14.53796137,32.92659307,9.698863917999999,No
32.32597601,-87.10647208,29.82689782,5.626877975,24.08899101,43.1,4.6,26.9,11.33825645,38.85725702,10.37240769,No
34.45980613,-85.80411386,25.95898149,5.267708142,21.02827079,29.2,8.2,31.7,12.45824953,40.67948145,17.31903394,No
32.59665284,-86.14916394,18.63386282,4.296209677,17.45250185,34.3,7.6,26.4,15.85290019,29.68598067,8.655716447,No
31.12614174,-87.16158370000001,26.05489189,5.219402937,22.41258458,39.4,6.6,32.4,12.97516836,44.89584681,14.42834487,No
34.04526554,-86.03476326,21.48386406,4.919021694,20.1473986,35.5,7.1,34.1,14.03053052,40.43298313,12.46599573,No
33.72123026,-87.73886639,22.19934392,4.92753119,18.00159326,41.0,7.9,33.7,13.51852394,40.4040404,11.45995637,No
34.44169874,-87.84373986,25.36802147,5.216587949,19.25058304,34.3,7.9,38.1,13.37365231,47.35748219,15.303450400000001,No
31.0950592,-85.83909125,23.0846693,5.020503153,20.00360328,38.7,7.8,36.8,13.72213958,46.36128556,14.07272901,No
32.85315674,-87.9522131,33.98515564,5.934787652000001,24.63281871,35.5,3.2,18.3,9.571575961,44.59308807,11.44634526,No
32.76266973,-87.62915115,27.90257033,5.415438099999999,22.07729134,40.4,6.1,27.8,11.40459807,37.21058434,10.56016246,No
31.51471008,-85.24141827,21.41926206,4.696673741000001,18.42984544,36.3,7.9,35.4,13.80933082,29.54808807,12.18773656,No
31.15320567,-85.30247675,20.2697971,4.66568897,19.24978279,38.1,7.1,30.6,13.52370177,35.07194245,11.0702235,No
34.77947284,-85.99935097,23.24476181,5.032927396,19.95892088,38.7,7.9,29.1,13.49201628,38.67871259,13.05094171,No
33.55431974,-86.89649571,19.69630214,4.410889766,17.62204526,34.6,6.3,30.1,14.68864353,29.51960335,10.04948485,No
33.77914785,-88.09695923,24.25531098,5.210485954,20.430552,35.7,7.8,36.5,12.96669047,42.06773619,11.53169829,No
34.90141329,-87.65401498,20.12583341,4.668641982,16.6560043,32.5,7.6,28.5,13.74675543,22.77187058,11.28515877,No
34.52168287,-87.31099415,21.83380312,4.88277199,20.18764616,32.6,8.0,36.4,14.331455100000001,38.16907708,14.02862986,No
32.6011521,-85.35547541,21.46390783,4.490927657,17.56014041,29.9,6.4,21.3,15.74760323,16.50008616,10.35018499,No
34.81010556,-86.98140612,20.11404561,4.5193296830000005,18.17335659,33.9,8.1,29.3,14.96338315,24.20817998,11.01404217,No
32.15475389,-86.65010295,30.35591055,5.486274035,22.61591119,46.9,4.6,33.7,10.35372988,36.00729262,10.82283173,No
32.38596506,-85.69265703,29.86333813,5.412811683999999,21.414696399999997,49.6,4.0,32.3,10.73504514,21.70113603,10.55468224,No
34.76309646,-86.55023073,19.25782533,4.365622504,16.820172699999997,32.9,7.5,22.0,15.58025881,19.91511988,9.439347131,No
32.24767124,-87.78954307,26.24173744,5.285484211,21.35600035,42.2,5.5,32.4,11.86980271,27.69580023,9.797428905,No
34.13656412,-87.88713856,22.25650467,4.912018071,19.06020361,36.8,7.9,31.3,14.03490007,41.02564103,11.40808344,No
34.36696256,-86.30664428,22.39465306,4.965234306,21.01785348,34.4,8.0,36.2,14.19656084,46.30357845,15.64357699,No
30.79152145,-88.20647692,22.3990914,4.527724336,19.36996915,36.3,6.4,30.6,15.19329811,35.51484897,11.71989015,No
31.57088474,-87.36543553,30.01619585,5.673768195,23.25753896,41.8,5.0,33.7,11.23033314,36.85741998,12.7897351,No
32.22026918,-86.20762341,23.87508622,5.039619345,19.68315291,37.7,5.5,28.7,13.85100674,36.94868027,11.00542222,No
34.45347499,-86.85294744,20.55428234,4.557816378,18.85570615,32.4,7.9,26.6,13.5503695,37.46970239,11.56025222,No
32.63846817,-87.29441186,35.42905408,6.403329096,26.00308857,43.4,4.9,34.6,9.686567271,23.06149733,11.48098831,No
33.28080083,-88.08875635,26.59326475,5.211549071,21.19912304,34.9,7.1,25.5,12.32901333,34.88661849,11.60720353,No
31.80273315,-85.94093763,24.55416321,5.0888859580000005,20.60465618,36.2,6.2,27.8,15.00951282,18.06282723,12.91665076,No
33.29379108,-85.45913323,21.389294500000002,4.7617893780000005,18.99835753,37.4,7.2,34.2,14.00682348,41.21189311,13.22766246,No
32.28840212,-85.18492879,25.46314877,5.024273935,21.79131984,45.1,6.6,31.5,13.28764591,39.02792307,11.30465401,No
33.71569927,-86.31470916,19.27257125,4.53789553,18.33530128,36.6,8.4,30.7,15.14834421,31.56971646,10.04106833,No
33.26428465,-86.66066941,16.48943997,3.9793228089999997,15.56115747,35.0,8.6,25.0,17.04965513,14.11779212,7.859134052000001,No
32.59106113,-88.19885129999999,33.63301606,5.869336911,22.49191497,42.8,4.6,37.6,10.71973787,23.57071214,11.36221621,No
33.38008735,-86.16589091,23.19712431,4.820209004,23.15986226,38.8,7.0,34.9,13.93203336,33.519865700000004,10.30204108,No
32.86238365,-85.797503,22.84730675,4.777743193,18.18006719,36.0,7.2,30.0,13.18244811,43.06220096,11.90483693,No
33.28957824,-87.52511536,20.26232998,4.5040628830000005,17.8726324,34.6,7.1,30.0,16.05198808,21.20310087,9.308683081,No
33.80331673,-87.29733269,24.37171888,5.209901213,22.68098456,39.6,7.5,35.7,13.83630308,45.579597,11.67076647,No
31.40763462,-88.20786221,23.04085882,4.996434068,20.79009208,32.9,7.2,34.1,13.98978232,32.04449153,13.90946502,No
31.9893103,-87.30819998,29.44186605,5.4542382179999995,22.06663015,47.7,2.5,36.8,10.99889654,39.51584194,10.51888458,No
34.14920425,-87.37366922,21.43141982,4.820298169,19.6479681,37.8,8.0,32.2,13.56003941,43.47826087,12.77275435,No
61.15077639,-149.104986,14.99110713,3.503084771,15.04143203,31.8,8.0,17.6,21.4687602,24.27382635,12.74142058,No
60.94731083,-159.52236090000002,23.96387468,5.378380368999999,30.418017100000004,31.0,2.9,31.3,21.59028775,61.588641599999995,19.77842354,Yes
59.80880284,-158.19082340000003,23.02420086,4.817399036,26.93081718,35.6,4.8,23.9,21.5928896,45.81818182,17.43098842,Yes
64.8079232,-146.56367930000002,11.95641275,3.038840061,15.85357887,30.0,7.7,18.2,22.84879939,26.66866807,13.23840093,No
58.74655112,-136.56045890000001,17.06799513,4.081508666,20.0737377,32.2,4.3,19.0,18.30004718,24.57002457,22.85542891,Yes
58.46978772,-134.15765290000002,11.464424099999999,3.039905531,16.58487086,27.3,8.2,16.0,24.10706807,13.97318278,13.36833603,Yes
60.18722842,-150.2951884,14.74812876,3.8429587,17.33815308,32.7,7.6,22.5,21.27240704,19.93494036,16.04337289,No
55.59645414,-130.9176881,13.68845386,3.3766260519999998,16.93510011,38.2,8.1,19.2,20.46348667,24.03495994,17.18642316,Yes
57.430974600000006,-153.5372858,13.28274724,3.189785662,15.43897324,34.1,8.1,24.5,21.96532612,19.87662783,18.41440835,No
62.15453871,-163.3786399,36.93195283,7.062310115,41.00094861,23.2,1.9,27.8,17.41944053,88.56926571,17.65085095,Yes
62.31573986,-149.57067890000002,13.21390288,3.7237597539999996,17.50057946,34.4,7.6,22.0,21.09418708,19.98199048,14.84915792,No
65.03932964,-163.5105174,24.78950635,5.407085288999999,31.53057287,40.3,3.5,24.9,21.54251367,60.60606061,21.20708749,Yes
69.31184813,-153.4794806,16.33393667,3.778302907,23.85108657,40.1,6.9,35.4,22.11557356,61.39380531,17.80867263,Yes
67.05300248,-159.72100840000002,23.52824347,5.336488303,30.51691785,42.1,3.4,26.7,21.03361694,75.22522523,24.10474168,Yes
55.49702772,-132.84246370000002,18.48660272,4.263009758,22.27222789,44.9,6.3,22.8,19.55304556,17.04105345,23.17660126,Yes
56.94758231,-135.05252190000002,12.52473811,3.405696776,16.25045499,26.6,8.1,17.5,21.1765861,16.05231867,18.27765608,No
63.87691391,-143.2068104,14.79708249,3.407934567,19.61017034,32.8,6.1,18.6,20.32525916,34.212402000000004,21.07508532,Yes
61.62570433,-144.3063895,12.21057082,3.136219301,16.59062272,34.8,7.2,19.1,24.60802819,15.17306781,14.89574229,No
65.50873343,-151.3915425,22.92893292,5.232301799,29.69143357,30.5,1.9,24.0,21.6874924,34.35672515,24.09821817,Yes
35.39553039,-109.48883319999999,25.95120197,5.613058281,21.51310702,33.5,2.0,27.2,12.94499582,37.330206200000006,19.17271189,No
31.87961343,-109.7511763,18.06944859,4.233140699,14.99584566,29.8,6.8,24.7,14.74556738,34.2509724,10.45641986,No
35.83874572,-111.7705113,15.88451414,4.193534585,15.99018603,23.8,6.1,17.0,17.40134319,18.64890201,13.11674912,No
33.79975251,-110.8117163,18.66972167,4.507722096,17.62810473,30.8,6.2,27.1,15.65961303,50.80902814,13.47724621,No
32.93270473,-109.88740849999999,18.91427963,4.374218826,17.53449299,34.8,6.3,23.3,17.13275089,42.53994605,10.01835112,No
33.21522675,-109.2401435,17.86541623,3.7225905669999997,14.26994985,29.3,5.8,22.3,18.0303045,39.85507246,8.614782182999999,No
33.72928687,-113.98130649999999,22.00599671,4.523054715,15.5210102,30.2,6.2,39.6,13.04600532,51.4490394,19.76077339,No
33.34881254,-112.4913064,15.62265423,3.577188539,13.68639825,26.9,7.7,20.4,18.21042405,25.98796094,12.081176,No
35.70410309,-113.75796470000002,18.91227263,4.419033636,19.35284304,31.8,5.8,32.2,16.14028829,31.9732291,13.36297683,No
35.39966398,-110.3214125,24.2846849,4.966884622,20.61197836,34.0,4.6,28.9,13.64950539,44.14003044,15.12011359,Yes
32.09742991,-111.7899057,17.16099051,3.874666185,14.91646119,25.0,7.5,19.8,16.97156459,24.48842385,10.86259278,No
32.90439693,-111.34468159999999,20.09121745,4.229526689,16.2744735,32.6,7.6,28.5,16.12945483,28.59492705,11.02796475,No
31.5260312,-110.8466007,26.57921759,4.505269855,14.57144926,26.9,7.8,20.3,14.138932500000001,37.20894252,13.99328322,No
34.59990128,-112.55391270000001,15.40051142,4.116284082,17.06533007,23.0,6.8,23.2,16.69477185,26.79946879,12.92438197,No
32.76943011,-113.9055971,22.72637637,4.096980833,13.32703585,36.9,6.8,26.3,17.70614739,42.05673048,14.19948099,No
34.29081529,-91.37491716,23.12340567,4.79187837,20.083230399999998,30.6,5.5,38.2,13.73710983,56.30387931,8.924453141,No
33.19121662,-91.76846303,24.02256347,4.789921817,20.45206693,42.6,6.0,47.4,12.66634834,44.78290521,9.202722108,No
36.28721474,-92.33695365,18.94624372,4.410894575,16.24281588,33.7,7.7,29.8,12.97732178,36.34697618,8.383760203,No
36.3387302,-94.25620568,16.23336006,3.832652322,16.51315672,29.3,8.2,23.8,17.61549385,28.12027199,10.42660788,No
36.30859684,-93.09154006,21.217831,4.446559527,19.90299442,34.4,7.0,30.2,14.199844899999999,41.82246226,8.616480163,No
33.46642522,-92.16239583,28.44205722,5.183783954,21.76763047,46.4,6.5,40.8,12.55795627,42.96361245,11.55674047,No
33.55803676,-92.50305009,23.97552891,4.804874162,20.62485566,29.4,4.6,37.1,13.25279097,29.28870293,8.33755702,No
36.34102504,-93.53824639,22.02276918,4.739156878,18.37273365,27.7,8.1,33.5,13.4055378,44.75254475,12.77965783,No
33.26721785,-91.29398408,30.05242378,5.181271498,23.10340952,38.8,2.9,35.6,10.90987935,48.7012987,8.907823393,No
34.05098432,-93.17637293,23.74251321,4.820256061,19.33947371,26.9,5.1,38.3,14.85533236,18.38362817,7.206696878,No
36.368270200000005,-90.41755555,22.55383136,4.857148888,20.33319098,42.6,7.1,31.9,13.95560894,55.03093455,8.657933547,No
35.53810667,-92.0267315,20.06844482,4.440806128,17.40939805,36.6,7.6,34.3,14.05820247,38.25372812,9.121769601,No
33.89837361,-92.18519232,22.030595899999998,4.653727214,19.03855979,35.5,7.0,32.9,14.710687,25.80645161,8.885819521,No
33.214295899999996,-93.22732085,26.52042418,5.171980808,20.47642494,36.4,5.9,34.3,13.82732472,27.48361069,8.278313865,No
35.26225009,-92.70130274,22.15407412,4.683556653,19.00093382,36.8,6.9,38.3,14.48456905,45.24253731,8.502194697,No
35.83079712,-90.63283948,22.71733072,4.779850916,20.76292084,38.2,6.7,34.0,15.00349026,34.30089464,7.940468864,No
35.58909134,-94.24282934,20.1086983,4.7092909039999995,19.00417714,35.2,7.4,31.0,14.47752553,40.01103753,9.8941617,No
35.20794893,-90.30884392,25.87044292,4.912808494,23.311338,41.3,5.8,37.8,12.54750659,55.09140541,7.988737912,No
35.2957176,-90.77122099,23.66743852,4.844203438,20.48800941,38.9,6.7,36.5,13.20263071,48.06408545,8.818967427,No
33.9698172,-92.65445049,22.72461188,4.533580155,19.21190612,38.5,5.5,44.6,12.14312763,25.03052503,8.089053802999999,No
33.83329066,-91.25398866,31.97991039,5.586607128,24.25184846,37.9,4.1,36.8,11.03124494,48.92857143,9.530916844,No
33.58945056,-91.72000352,25.46629278,4.986450989,20.83169978,40.8,5.8,30.1,13.69853774,32.62736119,8.421562522,No
35.14698891,-92.33204986,20.65199747,4.302718861000001,20.53501532,35.2,7.2,30.2,17.89497931,24.62691347,7.979888396000001,No
35.51232578,-93.89064485,21.81170744,4.766314926000001,21.15018395,34.0,7.4,37.0,13.77531594,37.08439898,9.437247528,No
