FID,NAME,CITY,STATE,COUNTY,LATITUDE,LONGITUDE,TYPE
1,CENTRAL VALLEY GENERAL HOSPITAL,HANFORD,CA,KINGS,36.33615885,-119.6456673,GENERAL ACUTE CARE
2,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,CA,VENTURA,34.15493887,-118.8157364,GENERAL ACUTE CARE
3,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,LOS ANGELES,34.0236473,-118.1841648,GENERAL ACUTE CARE
4,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,LOS ANGELES,34.09639136,-118.32523490000001,GENERAL ACUTE CARE
5,KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,LOS ANGELES,34.06303893,-117.9674378,GENERAL ACUTE CARE
6,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,LOS ANGELES,33.85970662,-118.148403,GENERAL ACUTE CARE
7,MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,LOS ANGELES,34.14875866,-117.99266770000001,GENERAL ACUTE CARE
8,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,LOS ANGELES,34.04946606,-118.1382622,GENERAL ACUTE CARE
9,STAR VIEW ADOLESCENT - P H F,TORRANCE,CA,LOS ANGELES,33.82391446,-118.3560969,PSYCHIATRIC
10,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,CA,RIVERSIDE,33.85808331,-117.553858,GENERAL ACUTE CARE
11,MODOC MEDICAL CENTER,ALTURAS,CA,MODOC,41.48005626,-120.545744,GENERAL ACUTE CARE
12,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,MONTEREY,36.65903046,-121.6459838,GENERAL ACUTE CARE
13,CORPUS CHRISTI SPECIALTY HOSPITAL,CORPUS CHRISTI,TX,NUECES,27.77851017,-97.39620831,GENERAL ACUTE CARE
14,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,CA,ORANGE,33.78272717,-117.8338919,CHILDREN
15,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,TUSTIN,CA,ORANGE,33.74746074,-117.83105559999998,GENERAL ACUTE CARE
16,KINDRED HOSPITAL BREA,BREA,CA,ORANGE,33.93449589,-117.89394879999999,GENERAL ACUTE CARE
17,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,ORANGE,33.76353321,-117.99525600000001,GENERAL ACUTE CARE
18,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,VISALIA,CA,TULARE,36.32084395,-119.3482345,GENERAL ACUTE CARE
19,CHARLTON MEMORIAL HOSPITAL,FOLKSTON,GA,CHARLTON,30.84527535,-82.00505739,GENERAL ACUTE CARE
20,DAUTERIVE HOSPITAL,NEW IBERIA,LA,IBERIA,30.00690698,-91.79452385,GENERAL ACUTE CARE
21,CROCKETT MEDICAL CENTER,CROCKETT,TX,HOUSTON,31.32360364,-95.43889931,GENERAL ACUTE CARE
22,CENTRAL LOUISIANA STATE HOSPITAL,PINEVILLE,LA,RAPIDES,31.32737894,-92.44013511,PSYCHIATRIC
23,REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,UNION,32.82399167,-92.65664868,GENERAL ACUTE CARE
24,SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,UNION,32.77612793,-92.40562585,PSYCHIATRIC
25,RIVERBRIDGE SPECIALTY HOSPITAL,VIDALIA,LA,CONCORDIA,31.56117486,-91.42606698,LONG TERM CARE
26,CITIZENS MEDICAL CENTER,COLUMBIA,LA,CALDWELL,32.06003995,-92.09913767,GENERAL ACUTE CARE
27,BROWN MEMORIAL CONVALESCENT CENTER,ROYSTON,GA,FRANKLIN,34.28325037,-83.11897237,LONG TERM CARE
28,COLLEGE MEDICAL CENTER,LONG BEACH,CA,LOS ANGELES,33.80709287,-118.1933899,GENERAL ACUTE CARE
29,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,ALAMEDA,37.7064062,-122.1646545,GENERAL ACUTE CARE
30,KINDRED HOSPITAL PARAMOUNT,PARAMOUNT,CA,LOS ANGELES,33.88463186,-118.16226709999998,LONG TERM CARE
31,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,CA,LOS ANGELES,33.92803135,-118.06798970000001,PSYCHIATRIC
32,PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,PERRY,38.084846,-89.349108,CRITICAL ACCESS
33,ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,CHATHAM,31.98543032,-81.15455637,GENERAL ACUTE CARE
34,KINDRED HOSPITAL ROME,ROME,GA,FLOYD,34.25971345,-85.18023963,LONG TERM CARE
35,UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,UPSON,32.8862977,-84.33650699,GENERAL ACUTE CARE
36,PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,SUMTER,32.06696234,-84.2560502,GENERAL ACUTE CARE
37,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,MERIWETHER,32.88798074,-84.69234490000001,LONG TERM CARE
38,SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,COWETA,33.38483465,-84.75774669,GENERAL ACUTE CARE
40,BROWN CTY COMMUNITY TREATMENT CENTER,GREEN BAY,WI,BROWN,44.52271226,-87.92482708,PSYCHIATRIC
41,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WAUWATOSA,WI,MILWAUKEE,43.03581215,-88.03726582,GENERAL ACUTE CARE
43,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,ALEXANDRIA,LA,RAPIDES,31.25219156,-92.48198781,GENERAL ACUTE CARE
44,OCSHNER ST. ANNE GENERAL HOSPITAL,RACELAND,LA,LAFOURCHE,29.70267142,-90.56525390000002,GENERAL ACUTE CARE
45,FELICIANA FORENSIC FACILITY,JACKSON,LA,EAST FELICIANA,30.83263569,-91.21066049,GENERAL ACUTE CARE
46,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,GRETNA,LA,JEFFERSON,29.86597947,-90.03069185,REHABILITATION
48,RIPON MEDICAL CENTER,RIPON,WI,FOND DU LAC,43.83437609,-88.81775153,CRITICAL ACCESS
49,VA MEDICAL CENTER - PROVIDENCE,PROVIDENCE,RI,PROVIDENCE,41.83213908,-71.43314954,GENERAL ACUTE CARE
50,TOMAH VA MEDICAL CENTER,TOMAH,WI,MONROE,44.00308068,-90.49331901,MILITARY
