FID,NAME,CITY,STATE,COUNTY,STATUS,TYPE
1,CENTRAL VALLEY GENERAL HOSPITAL,HANFORD,CA,KINGS,CLOSED,GENERAL ACUTE CARE
2,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,CA,VENTURA,OPEN,GENERAL ACUTE CARE
3,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
4,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
5,KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
6,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
7,MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
8,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
9,STAR VIEW ADOLESCENT - P H F,TORRANCE,CA,LOS ANGELES,OPEN,PSYCHIATRIC
10,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,CA,RIVERSIDE,OPEN,GENERAL ACUTE CARE
11,MODOC MEDICAL CENTER,ALTURAS,CA,MODOC,OPEN,GENERAL ACUTE CARE
12,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,MONTEREY,OPEN,GENERAL ACUTE CARE
13,CORPUS CHRISTI SPECIALTY HOSPITAL,CORPUS CHRISTI,TX,NUECES,CLOSED,GENERAL ACUTE CARE
14,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,CA,ORANGE,OPEN,CHILDREN
15,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,TUSTIN,CA,ORANGE,OPEN,GENERAL ACUTE CARE
16,KINDRED HOSPITAL BREA,BREA,CA,ORANGE,OPEN,GENERAL ACUTE CARE
17,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,ORANGE,OPEN,GENERAL ACUTE CARE
18,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,VISALIA,CA,TULARE,OPEN,GENERAL ACUTE CARE
19,CHARLTON MEMORIAL HOSPITAL,FOLKSTON,GA,CHARLTON,CLOSED,GENERAL ACUTE CARE
20,DAUTERIVE HOSPITAL,NEW IBERIA,LA,IBERIA,OPEN,GENERAL ACUTE CARE
21,CROCKETT MEDICAL CENTER,CROCKETT,TX,HOUSTON,OPEN,GENERAL ACUTE CARE
22,CENTRAL LOUISIANA STATE HOSPITAL,PINEVILLE,LA,RAPIDES,OPEN,PSYCHIATRIC
23,REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,UNION,OPEN,GENERAL ACUTE CARE
24,SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,UNION,OPEN,PSYCHIATRIC
25,RIVERBRIDGE SPECIALTY HOSPITAL,VIDALIA,LA,CONCORDIA,OPEN,LONG TERM CARE
26,CITIZENS MEDICAL CENTER,COLUMBIA,LA,CALDWELL,OPEN,GENERAL ACUTE CARE
27,BROWN MEMORIAL CONVALESCENT CENTER,ROYSTON,GA,FRANKLIN,CLOSED,LONG TERM CARE
28,COLLEGE MEDICAL CENTER,LONG BEACH,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
29,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,ALAMEDA,OPEN,GENERAL ACUTE CARE
30,KINDRED HOSPITAL PARAMOUNT,PARAMOUNT,CA,LOS ANGELES,OPEN,LONG TERM CARE
31,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,CA,LOS ANGELES,OPEN,PSYCHIATRIC
32,PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,PERRY,OPEN,CRITICAL ACCESS
33,ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,CHATHAM,OPEN,GENERAL ACUTE CARE
34,KINDRED HOSPITAL ROME,ROME,GA,FLOYD,OPEN,LONG TERM CARE
35,UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,UPSON,OPEN,GENERAL ACUTE CARE
36,PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,SUMTER,OPEN,GENERAL ACUTE CARE
37,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,MERIWETHER,OPEN,LONG TERM CARE
38,SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,COWETA,OPEN,GENERAL ACUTE CARE
40,BROWN CTY COMMUNITY TREATMENT CENTER,GREEN BAY,WI,BROWN,OPEN,PSYCHIATRIC
41,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WAUWATOSA,WI,MILWAUKEE,OPEN,GENERAL ACUTE CARE
43,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,ALEXANDRIA,LA,RAPIDES,OPEN,GENERAL ACUTE CARE
44,OCSHNER ST. ANNE GENERAL HOSPITAL,RACELAND,LA,LAFOURCHE,OPEN,GENERAL ACUTE CARE
45,FELICIANA FORENSIC FACILITY,JACKSON,LA,EAST FELICIANA,OPEN,GENERAL ACUTE CARE
46,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,GRETNA,LA,JEFFERSON,OPEN,REHABILITATION
48,RIPON MEDICAL CENTER,RIPON,WI,FOND DU LAC,OPEN,CRITICAL ACCESS
49,VA MEDICAL CENTER - PROVIDENCE,PROVIDENCE,RI,PROVIDENCE,OPEN,GENERAL ACUTE CARE
50,TOMAH VA MEDICAL CENTER,TOMAH,WI,MONROE,OPEN,MILITARY
51,ASCENSION GOOD SAMARITAN HLTH CTR,MERRILL,WI,LINCOLN,OPEN,GENERAL ACUTE CARE
52,RESTPADD PSYCHIATRIC HEALTH FACILITY,REDDING,CA,SHASTA,OPEN,PSYCHIATRIC
53,THE CHAMPION CENTER,LOMPOC,CA,SANTA BARBARA,OPEN,REHABILITATION
54,STEWART WEBSTER HOSPITAL,RICHLAND,GA,STEWART,CLOSED,CRITICAL ACCESS
55,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,ONTARIO,CA,SAN BERNARDINO,OPEN,GENERAL ACUTE CARE
56,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,LOMA LINDA,CA,SAN BERNARDINO,OPEN,GENERAL ACUTE CARE
57,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,SAN BERNARDINO,OPEN,GENERAL ACUTE CARE
58,KAISER FND HOSP - SAN DIEGO,SAN DIEGO,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
59,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
60,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,ENCINITAS,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
61,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,SAN DIEGO,CA,SAN DIEGO,OPEN,WOMEN
62,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,SAN DIEGO,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
63,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,SAN FRANCISCO,CA,SAN FRANCISCO,OPEN,GENERAL ACUTE CARE
64,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,OPEN,GENERAL ACUTE CARE
65,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,CA,SAN FRANCISCO,OPEN,GENERAL ACUTE CARE
66,KAISER FND HOSP - SANTA ROSA,SANTA ROSA,CA,SONOMA,OPEN,GENERAL ACUTE CARE
67,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,VALLEJO,CA,SOLANO,OPEN,GENERAL ACUTE CARE
68,WOODLAND MEMORIAL HOSPITAL,WOODLAND,CA,YOLO,OPEN,GENERAL ACUTE CARE
69,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,OAKLAND,CA,ALAMEDA,OPEN,GENERAL ACUTE CARE
70,SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,ALAMEDA,OPEN,GENERAL ACUTE CARE
71,ST. ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,OPEN,GENERAL ACUTE CARE
72,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,STOCKTON,CA,SAN JOAQUIN,OPEN,PSYCHIATRIC
73,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,CA,SAN JOAQUIN,OPEN,GENERAL ACUTE CARE
74,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,GLENDORA,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
75,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
76,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
77,KAISER PERMANENTE PANORAMA CITY,PANORAMA CITY,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
78,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
79,SHRINERS HOSPITAL FOR CHILDREN - L.A.,LOS ANGELES,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
80,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
81,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,CA,LAKE,OPEN,GENERAL ACUTE CARE
82,VALLEY CHILDREN'S HOSPITAL,MADERA,CA,MADERA,OPEN,CHILDREN
83,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,RIVERSIDE,OPEN,GENERAL ACUTE CARE
84,GOOD SAMARITAN HOSPITAL-SAN JOSE,SAN JOSE,CA,SANTA CLARA,OPEN,GENERAL ACUTE CARE
85,KAISER FND HOSP - SANTA CLARA,SANTA CLARA,CA,SANTA CLARA,OPEN,GENERAL ACUTE CARE
86,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,PALO ALTO,CA,SANTA CLARA,OPEN,GENERAL ACUTE CARE
