Random_Location,Min_Distance_From_Acute_Hospital,Is_Medical_Desert,latitude,longitude
"(31.104778412138124, -111.94753519471364)",60.691007,Yes,31.104778412138124,-111.94753519471364
"(37.32578646819467, -118.06128130795905)",19.157153,No,37.32578646819467,-118.06128130795905
"(28.14241547850202, -100.00914269797923)",27.426523,No,28.14241547850202,-100.00914269797923
"(34.03846040060221, -113.92800224614095)",21.569383,No,34.03846040060221,-113.92800224614095
"(34.3897578055597, -75.34016249199726)",83.952466,Yes,34.3897578055597,-75.34016249199726
"(26.941726297865618, -128.42666693971483)",711.259765,Yes,26.941726297865618,-128.42666693971483
"(32.40893751300893, -100.99971966029186)",19.82052,No,32.40893751300893,-100.99971966029186
"(27.387066574523402, -103.83089593063958)",225.287339,Yes,27.387066574523402,-103.83089593063958
"(44.63156398462745, -73.75173818631879)",14.702308,No,44.63156398462745,-73.75173818631879
"(41.91139192881742, -117.7971061200646)",64.976458,Yes,41.91139192881742,-117.7971061200646
"(32.60024029799137, -93.43476002631243)",8.742726,No,32.60024029799137,-93.43476002631243
"(38.429040714784826, -121.31001680460199)",6.248575,No,38.429040714784826,-121.31001680460199
"(29.37197970983774, -87.9734067751164)",74.628334,Yes,29.37197970983774,-87.9734067751164
"(43.8052874390974, -101.65530006006705)",75.720312,Yes,43.8052874390974,-101.65530006006705
"(28.016515781003335, -126.86063308271149)",593.212227,Yes,28.016515781003335,-126.86063308271149
"(36.25742432644636, -106.65453377099149)",31.987572,No,36.25742432644636,-106.65453377099149
"(26.872667110428793, -97.76727271365446)",42.818458,No,26.872667110428793,-97.76727271365446
"(29.41962439539446, -93.61525857498624)",38.051923,No,29.41962439539446,-93.61525857498624
"(32.22752029498443, -120.61286862156682)",153.345171,Yes,32.22752029498443,-120.61286862156682
"(30.61121300490108, -120.88875993031871)",240.605617,Yes,30.61121300490108,-120.88875993031871
"(41.48916186677391, -97.72198911400923)",17.652792,No,41.48916186677391,-97.72198911400923
"(26.967044060908552, -98.73114479472174)",41.416113,No,26.967044060908552,-98.73114479472174
"(28.716500331012625, -86.1063105710974)",88.309674,Yes,28.716500331012625,-86.1063105710974
"(37.8861064389679, -118.31844505595959)",36.460484,No,37.8861064389679,-118.31844505595959
"(45.576339325837274, -72.75324259616957)",55.318742,No,45.576339325837274,-72.75324259616957
"(28.6785045447153, -92.87043359902904)",79.81458,Yes,28.6785045447153,-92.87043359902904
"(29.00958610985149, -113.0424222683072)",203.238739,Yes,29.00958610985149,-113.0424222683072
"(41.90557252934261, -125.08177135379935)",42.180643,No,41.90557252934261,-125.08177135379935
"(45.63934000552378, -113.58812839051981)",56.431314,No,45.63934000552378,-113.58812839051981
"(43.34620420326169, -95.07257790246992)",5.592172,No,43.34620420326169,-95.07257790246992
"(43.21201513902845, -70.95577312001072)",4.124313,No,43.21201513902845,-70.95577312001072
"(30.88903956789037, -122.16823173297051)",277.344281,Yes,30.88903956789037,-122.16823173297051
"(44.255344434095264, -115.31906035668798)",40.464324,No,44.255344434095264,-115.31906035668798
"(36.05273149869251, -105.49447551093907)",22.256554,No,36.05273149869251,-105.49447551093907
"(33.15165003656444, -89.45446914531746)",28.503736,No,33.15165003656444,-89.45446914531746
"(38.24268219828555, -104.19904867291932)",22.65689,No,38.24268219828555,-104.19904867291932
"(42.318928376225216, -106.3238603739243)",36.365957,No,42.318928376225216,-106.3238603739243
"(35.4009617000863, -100.43684558333476)",9.76062,No,35.4009617000863,-100.43684558333476
"(35.42336566355763, -87.9163065795995)",11.280404,No,35.42336566355763,-87.9163065795995
"(46.22047848411215, -76.66233960659616)",119.746891,Yes,46.22047848411215,-76.66233960659616
"(31.70803994465028, -105.7947217661218)",28.233988,No,31.70803994465028,-105.7947217661218
"(40.887427299042535, -114.03127176295506)",89.142903,Yes,40.887427299042535,-114.03127176295506
"(31.87573392026485, -98.25506925954564)",14.440236,No,31.87573392026485,-98.25506925954564
"(37.04288876347644, -125.56855168994322)",171.938926,Yes,37.04288876347644,-125.56855168994322
"(42.02350667753878, -108.05705535001016)",64.802099,Yes,42.02350667753878,-108.05705535001016
"(41.9495065919936, -112.54795880821115)",22.548568,No,41.9495065919936,-112.54795880821115
"(39.51538723974187, -110.55348913736296)",16.15702,No,39.51538723974187,-110.55348913736296
"(30.293245876348802, -97.29298111718147)",20.898771,No,30.293245876348802,-97.29298111718147
"(44.15269966411054, -101.08462489694178)",39.499067,No,44.15269966411054,-101.08462489694178
"(40.312551059450016, -98.00083663095171)",28.026761,No,40.312551059450016,-98.00083663095171
"(31.921756765054795, -89.70235459600502)",3.821092,No,31.921756765054795,-89.70235459600502
"(44.017845330461995, -98.61862880650861)",37.003893,No,44.017845330461995,-98.61862880650861
